date,cycle,phase,score,btc_price,eth_price,fng,btc_alloc,alts_alloc,stb_alloc,portfolio_value,btc_hodl_value,dca_value,port_ret,hodl_ret,dca_ret,alpha_btc,alpha_dca,max_dd,win_streak
2026-03-06,seed,DEFENSIVE,2.44,70004,2047.64,18,20,0,80,10000,10000,10000,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-07,seed,CAUTIOUS,2.69,67849,1973,18,35,10,55,10000,10000,10000,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-06,seed,CAUTIOUS,2.56,68134,1980.04,18,35,10,55,10000,10000,10000,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-27,seed,DEFENSIVE,2.44,68152,1980,18,20,0,80,10000,10000,10000,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-06,seed,CAUTIOUS,3.08,68057,1974,18,35,10,55,10000,10000,10000,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-06,32,CAUTIOUS,2.62,68136,1977.26,18,35,10,55,9960.4,9733.16,9964.17,-0.4,-2.67,-0.36,2.27,-0.04,0.4,6
