date,btc,eth,fng,stb_b,tvl_b,l1,l2,l3,l4,composite,phase,btc_alloc,alts_alloc,stb_alloc,daily_score,monthly_score
2026-03-06,70004,2047.64,18,311.7,97.8,4.0,2.0,1.75,2.0,2.44,DEFENSIVE,20,0,80,,
2026-03-07,67849,1973,18,311.8,95.8,4.25,2.0,2.0,2.5,2.69,CAUTIOUS,35,10,55,1.92,1.94
2026-03-06,68134,1980.04,18,311.8,95.8,4.25,2.0,1.75,2.25,2.56,CAUTIOUS,35,10,55,,
2025-07-27,68152,1980,18,311.7,95.8,4.0,2.0,1.75,2.0,2.44,DEFENSIVE,20,0,80,,
2026-03-06,68057,1974,18,311.7,95.8,4.78,2.0,2.39,2.75,3.08,CAUTIOUS,30,5,65,3.08,3.08
2026-03-06,68136,1977.26,18,311.7,95.8,4.0,2.0,1.75,2.75,2.62,CAUTIOUS,35,10,55,,
